vendor,month,count
A1 Transfer & Recycling Inc,Sep,3
"A1 Waste, LLC",Jan,1
"A1 Waste, LLC",Mar,1
"A1 Waste, LLC",Apr,1
"A1 Waste, LLC",Sep,1
"A1 Waste, LLC",Oct,1
"A1 Waste, LLC",Nov,1
AAA Disposal,Jan,5
AAA Disposal,Feb,5
AAA Disposal,Mar,12
AAA Disposal,Apr,5
AAA Disposal,May,3
AAA Disposal,Jun,8
AAA Disposal,Jul,4
AAA Disposal,Aug,4
AAA Disposal,Sep,3
AAA Disposal,Oct,4
AAA Disposal,Nov,2
AAA Disposal,Dec,5
AAA Rubbish Inc,Jan,1
AAA Rubbish Inc,Mar,2
AAA Rubbish Inc,Apr,1
AAA Rubbish Inc,May,1
AAA Rubbish Inc,Jun,1
AAA Rubbish Inc,Jul,1
AAA Rubbish Inc,Aug,1
AAA Rubbish Inc,Sep,1
AAA Rubbish Inc,Oct,1
AAA Rubbish Inc,Nov,1
AAA Trash Service,Jan,2
AAA Trash Service,Mar,3
AAA Trash Service,Apr,6
AAA Trash Service,May,1
AAA Trash Service,Jun,4
AAA Trash Service,Jul,7
AAA Trash Service,Aug,4
AAA Trash Service,Sep,7
AAA Trash Service,Oct,6
AAA Trash Service,Nov,4
AAA Trash Service,Dec,3
"AB-8 Waste Solutions, LLC",May,4
"AB-8 Waste Solutions, LLC",Jun,2
"AB-8 Waste Solutions, LLC",Jul,2
"AB-8 Waste Solutions, LLC",Aug,2
"AB-8 Waste Solutions, LLC",Sep,2
"AB-8 Waste Solutions, LLC",Oct,2
"AB-8 Waste Solutions, LLC",Nov,2
ABC Disposal Systems,Jan,12
ABC Disposal Systems,Feb,12
ABC Disposal Systems,Mar,12
ABC Disposal Systems,Apr,11
ABC Disposal Systems,May,13
ABC Disposal Systems,Jun,11
ABC Disposal Systems,Jul,1
ABC Disposal Systems,Aug,11
ABC Disposal Systems,Sep,12
ABC Disposal Systems,Oct,1
ABC Disposal Systems,Nov,10
ABC Disposal Systems,Dec,1
ABC Waste Of Savannah,Jan,9
ABC Waste Of Savannah,Feb,8
ABC Waste Of Savannah,Mar,8
ABC Waste Of Savannah,Apr,8
ABC Waste Of Savannah,May,8
ABC Waste Of Savannah,Jun,8
ABC Waste Of Savannah,Jul,12
ABC Waste Of Savannah,Aug,9
ABC Waste Of Savannah,Sep,7
ABC Waste Of Savannah,Oct,12
ABC Waste Of Savannah,Nov,12
ABC Waste Of Savannah,Dec,10
ABS Sanitation,Apr,2
ABS Sanitation,May,1
ABS Sanitation,Jul,3
ABS Sanitation,Sep,1
ABS Sanitation,Oct,1
ABS Sanitation,Nov,2
ABSOLUTE WASTE REMOVAL,Jan,4
ABSOLUTE WASTE REMOVAL,Feb,5
ABSOLUTE WASTE REMOVAL,Mar,5
ABSOLUTE WASTE REMOVAL,Apr,6
ABSOLUTE WASTE REMOVAL,May,5
ABSOLUTE WASTE REMOVAL,Jun,6
ABSOLUTE WASTE REMOVAL,Jul,4
ABSOLUTE WASTE REMOVAL,Aug,7
ABSOLUTE WASTE REMOVAL,Sep,6
ABSOLUTE WASTE REMOVAL,Oct,5
ABSOLUTE WASTE REMOVAL,Nov,8
ABSOLUTE WASTE REMOVAL,Dec,6
ACE RECYCLING AND DISPOSAL,Jan,21
ACE RECYCLING AND DISPOSAL,Feb,19
ACE RECYCLING AND DISPOSAL,Mar,18
ACE RECYCLING AND DISPOSAL,Apr,19
ACE RECYCLING AND DISPOSAL,May,19
ACE RECYCLING AND DISPOSAL,Jun,18
ACE RECYCLING AND DISPOSAL,Jul,18
ACE RECYCLING AND DISPOSAL,Aug,17
ACE RECYCLING AND DISPOSAL,Sep,18
ACE RECYCLING AND DISPOSAL,Oct,17
ACE RECYCLING AND DISPOSAL,Nov,19
ACE RECYCLING AND DISPOSAL,Dec,25
ACE Recycling Disposal,Mar,2
ACE Recycling Disposal,Apr,8
ACE Recycling Disposal,May,1
ACE Recycling Disposal,Jun,6
ACE Recycling Disposal,Jul,1
ACE Recycling Disposal,Aug,9
ACE Recycling Disposal,Sep,13
ACE Recycling Disposal,Oct,5
ACE Recycling Disposal,Nov,6
ACE Recycling Disposal,Dec,6
ACE WASTE SYSTEMS,Jan,49
ACE WASTE SYSTEMS,Feb,44
ACE WASTE SYSTEMS,Mar,41
ACE WASTE SYSTEMS,Apr,12
ACE WASTE SYSTEMS,May,15
ACE WASTE SYSTEMS,Jun,15
ACE WASTE SYSTEMS,Jul,21
ACE WASTE SYSTEMS,Aug,23
ACE WASTE SYSTEMS,Sep,22
ACE WASTE SYSTEMS,Oct,34
ACE WASTE SYSTEMS,Nov,18
ACE WASTE SYSTEMS,Dec,10
AG Logistics Group,Jan,22
AG Logistics Group,Feb,17
AG Logistics Group,Mar,20
AG Logistics Group,Apr,26
AG Logistics Group,May,5
AG Logistics Group,Jun,13
AG Logistics Group,Jul,12
AG Logistics Group,Aug,6
AG Logistics Group,Sep,11
AIKEN REFUSE,Feb,1
AIKEN REFUSE,May,1
AIKEN REFUSE,Aug,2
AIKEN REFUSE,Nov,1
"AJ Waste Systems, LLC",Jan,2
"AJ Waste Systems, LLC",Feb,1
"AJ Waste Systems, LLC",Mar,2
"AJ Waste Systems, LLC",Apr,3
"AJ Waste Systems, LLC",May,4
"AJ Waste Systems, LLC",Jun,3
"AJ Waste Systems, LLC",Jul,4
"AJ Waste Systems, LLC",Aug,10
"AJ Waste Systems, LLC",Sep,6
"AJ Waste Systems, LLC",Oct,3
"AJ Waste Systems, LLC",Nov,4
AKAT Scrap Metal,Jan,3
AKAT Scrap Metal,Feb,1
AKAT Scrap Metal,Mar,3
AKAT Scrap Metal,Apr,1
AKAT Scrap Metal,Sep,3
AKAT Scrap Metal,Nov,2
AL Clawson Disposal,Jan,2
AL Clawson Disposal,Feb,7
AL Clawson Disposal,Mar,3
AL Clawson Disposal,Apr,5
AL Clawson Disposal,May,5
AL Clawson Disposal,Jun,5
AL Clawson Disposal,Jul,3
AL Clawson Disposal,Aug,2
AL Clawson Disposal,Sep,4
AL Clawson Disposal,Nov,3
AL Clawson Disposal,Dec,2
ALAMO DISPOSAL,Feb,1
ALAMO DISPOSAL,Jun,1
ALAMO DISPOSAL,Oct,1
ALAMO DISPOSAL,Nov,2
"ALPHA WASTE DISPOSAL, INC",Jan,4
"ALPHA WASTE DISPOSAL, INC",Mar,1
"ALPHA WASTE DISPOSAL, INC",Apr,3
"ALPHA WASTE DISPOSAL, INC",May,6
"ALPHA WASTE DISPOSAL, INC",Jun,2
"ALPHA WASTE DISPOSAL, INC",Jul,1
"ALPHA WASTE DISPOSAL, INC",Sep,2
"ALPHA WASTE DISPOSAL, INC",Nov,2
"ALPHA WASTE DISPOSAL, INC",Dec,1
AM DIsposal,Jan,3
AM DIsposal,Feb,2
AM DIsposal,Mar,2
AM DIsposal,Apr,2
AM DIsposal,May,2
AM DIsposal,Jun,2
AM DIsposal,Jul,2
AM DIsposal,Aug,3
AM DIsposal,Sep,4
AM DIsposal,Oct,1
AM DIsposal,Nov,1
AMG Resources Corporation,Jan,2
AMG Resources Corporation,Feb,2
AMG Resources Corporation,Mar,1
AMG Resources Corporation,Apr,1
AMG Resources Corporation,May,1
AMG Resources Corporation,Jun,1
AMG Resources Corporation,Aug,1
AMG Resources Corporation,Oct,1
AMG Resources Corporation,Nov,1
AMWASTE,Jan,14
AMWASTE,Feb,8
AMWASTE,Mar,11
AMWASTE,Apr,14
AMWASTE,May,10
AMWASTE,Jun,7
AMWASTE,Jul,14
AMWASTE,Aug,9
AMWASTE,Sep,11
AMWASTE,Oct,9
AMWASTE,Nov,13
AMWASTE,Dec,10
ANKENY SANITATION,Jan,19
ANKENY SANITATION,Feb,20
ANKENY SANITATION,Mar,25
ANKENY SANITATION,Apr,25
ANKENY SANITATION,May,25
ANKENY SANITATION,Jun,24
ANKENY SANITATION,Jul,24
ANKENY SANITATION,Aug,24
ANKENY SANITATION,Sep,24
ANKENY SANITATION,Oct,23
ANKENY SANITATION,Nov,25
ANKENY SANITATION,Dec,24
ANYTIME WASTE SYSTEMS,Jan,750
ANYTIME WASTE SYSTEMS,Feb,679
ANYTIME WASTE SYSTEMS,Mar,801
ANYTIME WASTE SYSTEMS,Apr,277
ANYTIME WASTE SYSTEMS,May,295
ANYTIME WASTE SYSTEMS,Jun,272
ANYTIME WASTE SYSTEMS,Jul,489
ANYTIME WASTE SYSTEMS,Aug,504
ANYTIME WASTE SYSTEMS,Sep,501
ANYTIME WASTE SYSTEMS,Oct,899
ANYTIME WASTE SYSTEMS,Nov,954
ANYTIME WASTE SYSTEMS,Dec,402
ARG Disposal,Jan,4
ARG Disposal,Mar,5
ARG Disposal,Apr,3
ARG Disposal,May,2
ARG Disposal,Jun,2
ARG Disposal,Jul,2
ARG Disposal,Aug,4
ARG Disposal,Oct,3
ARG Disposal,Nov,4
ARG Disposal,Dec,1
"ASC, LLC",Jan,1
"ASC, LLC",Feb,1
"ASC, LLC",Mar,1
"ASC, LLC",Aug,1
"ASC, LLC",Sep,1
"ASC, LLC",Oct,1
"ASC, LLC",Nov,1
"ASC, LLC",Dec,1
AT Disposal,Mar,1
AT Disposal,Apr,5
AT Disposal,May,2
AT Disposal,Jun,5
AT Disposal,Jul,2
AT Disposal,Aug,2
AT Disposal,Sep,6
AT Disposal,Oct,1
AT Disposal,Nov,3
AT Disposal,Dec,2
Abe's Trash Service,Jan,2
Abe's Trash Service,Feb,2
Abe's Trash Service,Mar,2
Abe's Trash Service,Apr,2
Abe's Trash Service,May,2
Abe's Trash Service,Jun,2
Abe's Trash Service,Jul,2
Abe's Trash Service,Aug,2
Abe's Trash Service,Sep,2
Abe's Trash Service,Oct,2
Abe's Trash Service,Nov,2
Absolute Services,Jan,1
Absolute Services,Feb,1
Absolute Services,Mar,1
Absolute Services,May,1
Absolute Services,Jun,2
Absolute Services,Jul,3
Absolute Services,Aug,2
Absolute Services,Sep,1
Absolute Services,Oct,2
Absolute Services,Nov,2
Absolute Services,Dec,2
"Acadiana Waste Services, LLC",Jan,1
"Acadiana Waste Services, LLC",Feb,1
"Acadiana Waste Services, LLC",Mar,1
"Acadiana Waste Services, LLC",Apr,1
"Acadiana Waste Services, LLC",May,1
"Acadiana Waste Services, LLC",Jun,1
"Acadiana Waste Services, LLC",Jul,1
"Acadiana Waste Services, LLC",Aug,1
"Acadiana Waste Services, LLC",Sep,1
"Acadiana Waste Services, LLC",Oct,1
"Acadiana Waste Services, LLC",Nov,1
"Acadiana Waste Services, LLC",Dec,2
Accent Wire-Tie,Apr,1
Accent Wire-Tie,May,2
Accent Wire-Tie,Jun,4
Accent Wire-Tie,Jul,1
Accent Wire-Tie,Aug,2
Accent Wire-Tie,Oct,1
Accent Wire-Tie,Nov,1
Accurate Paper Recycling,Jan,1
Accurate Paper Recycling,Feb,1
Accurate Paper Recycling,Mar,1
Accurate Paper Recycling,Apr,1
Accurate Paper Recycling,Jun,1
Accurate Paper Recycling,Jul,1
Accurate Paper Recycling,Aug,1
Accurate Paper Recycling,Sep,1
Accurate Paper Recycling,Oct,1
Accurate Paper Recycling,Nov,1
Accurate Paper Recycling,Dec,1
Ace Equipment Company,Apr,1
Ace Equipment Company,May,1
Ace Equipment Company,Jun,1
Ace Equipment Company,Sep,1
Ace Equipment Company,Oct,1
Ace Equipment Company,Nov,1
Ace Sanitation Service Inc.,Jan,1
Ace Sanitation Service Inc.,Feb,1
Ace Sanitation Service Inc.,Mar,1
Ace Sanitation Service Inc.,Apr,2
Ace Sanitation Service Inc.,May,1
Ace Sanitation Service Inc.,Jun,1
Ace Sanitation Service Inc.,Jul,1
Ace Sanitation Service Inc.,Aug,2
Ace Sanitation Service Inc.,Sep,1
Ace Sanitation Service Inc.,Oct,2
Ace Sanitation Service Inc.,Nov,1
Ace Sanitation Service Inc.,Dec,2
Aces Disposal Services - Emler Buchta Trucking,Jan,8
Aces Disposal Services - Emler Buchta Trucking,Feb,7
Aces Disposal Services - Emler Buchta Trucking,Mar,7
Aces Disposal Services - Emler Buchta Trucking,Apr,6
Aces Disposal Services - Emler Buchta Trucking,May,7
Aces Disposal Services - Emler Buchta Trucking,Jun,8
Aces Disposal Services - Emler Buchta Trucking,Jul,8
Aces Disposal Services - Emler Buchta Trucking,Aug,8
Aces Disposal Services - Emler Buchta Trucking,Sep,7
Aces Disposal Services - Emler Buchta Trucking,Oct,6
Aces Disposal Services - Emler Buchta Trucking,Nov,8
Aces Disposal Services - Emler Buchta Trucking,Dec,9
"Action Metal Co, Inc.",Jan,8
"Action Metal Co, Inc.",Feb,6
"Action Metal Co, Inc.",Mar,7
"Action Metal Co, Inc.",Apr,6
"Action Metal Co, Inc.",May,4
"Action Metal Co, Inc.",Jun,7
"Action Metal Co, Inc.",Jul,6
"Action Metal Co, Inc.",Aug,6
"Action Metal Co, Inc.",Sep,4
"Action Metal Co, Inc.",Oct,5
"Action Metal Co, Inc.",Nov,6
"Action Metal Co, Inc.",Dec,1
Action Metal Recycling,Jan,3
Action Metal Recycling,Feb,1
Action Metal Recycling,Mar,1
Action Metal Recycling,Apr,2
Action Metal Recycling,May,2
Action Metal Recycling,Jun,4
Action Metal Recycling,Jul,2
Action Metal Recycling,Aug,3
Action Metal Recycling,Sep,3
Action Metal Recycling,Oct,2
Action Metal Recycling,Nov,1
Action Metal Recycling,Dec,2
Action Trucking Company,Jan,5
Action Trucking Company,Feb,4
Action Trucking Company,Mar,4
Action Trucking Company,Apr,5
Action Trucking Company,May,3
Action Trucking Company,Jun,4
Action Trucking Company,Jul,4
Action Trucking Company,Aug,5
Action Trucking Company,Oct,1
Action Trucking Company,Nov,1
Action Welding Inc,Jun,2
Action Welding Inc,Dec,2
Active Waste Solutions,Jan,72
Active Waste Solutions,Feb,78
Active Waste Solutions,Mar,71
Active Waste Solutions,Apr,84
Active Waste Solutions,May,82
Active Waste Solutions,Jun,75
Active Waste Solutions,Jul,78
Active Waste Solutions,Aug,75
Active Waste Solutions,Sep,43
Active Waste Solutions,Oct,127
Active Waste Solutions,Nov,86
Active Waste Solutions,Dec,33
Ada County,Sep,3
Ada County,Oct,1
Ada County,Nov,1
"Adam's Disposal & Recycling Service, LLC",Jan,2
"Adam's Disposal & Recycling Service, LLC",Jun,1
"Adam's Disposal & Recycling Service, LLC",Jul,1
"Adam's Disposal & Recycling Service, LLC",Sep,1
"Adam's Disposal & Recycling Service, LLC",Oct,5
"Adam's Disposal & Recycling Service, LLC",Dec,3
Adaptec Solutions,Jan,2
Adaptec Solutions,Feb,2
Adaptec Solutions,Mar,1
Adaptec Solutions,May,2
Adaptec Solutions,Dec,1
Advance Disposal Company,Jan,3
Advance Disposal Company,Feb,3
Advance Disposal Company,Mar,9
Advance Disposal Company,Apr,4
Advance Disposal Company,May,4
Advance Disposal Company,Jun,4
Advance Disposal Company,Jul,4
Advance Disposal Company,Aug,1
Advance Disposal Company,Sep,3
Advance Disposal Company,Oct,5
Advance Disposal Company,Nov,4
Advance Disposal Company,Dec,4
Advance Machine & Hydraulic,Jan,10
Advance Machine & Hydraulic,Feb,9
