vendor,priorCount,currentCount,pct
LIFT WASTE & RECYCLING,14,11,78.6
Waste Connections - Team Waste,14,11,78.6
Waste Connections - Bayou 6170,14,13,92.9
City of Jackson,13,10,76.9
Blackhawk Waste,13,11,84.6
Trident Waste & Recycling,13,15,115.4
"County of DeKalb, GA",13,9,69.2
"National Equipment Solutions, LP",13,13,100.0
Roll off Systems,13,13,100.0
Waste Connections - Orlando Hauling 6460,13,5,38.5
WG Waste,13,16,123.1
Waste Connections - Novak Sanitary Service 3031,12,15,125.0
Waste Connections - Murrey's Disposal,12,12,100.0
KC DISPOSAL,12,10,83.3
BOROWIDE,12,14,116.7
Five Star Waste,12,5,41.7
ABC Waste Of Savannah,12,12,100.0
"City of North Las Vegas, NV",12,10,83.3
Grizzly Disposal & Recycling,12,13,108.3
Western Disposal Services,12,11,91.7
Waste Connections - ACE Solid Waste,12,7,58.3
VOGEL DISPOSAL SERVICE,12,17,141.7
Waste Connections - Kieffer Sanitation 3020,12,11,91.7
Stranco Solid Waste Management Co. LLC,12,12,100.0
"GROGAN WASTE SERVICES, LLC",12,5,41.7
CWD - Community Waste Disposal,12,13,108.3
STEVENS DISPOSAL,12,10,83.3
FIRST PIEDMONT,11,10,90.9
"Best Way - Anderson, IN",11,10,90.9
Basin Disposal Inc - Pasco WA,11,11,100.0
"Efficient Roll-Off & Recycling, Inc",11,3,27.3
"TRASH CONTROL, INC",11,6,54.5
Waste Connections - Kentucky 6055,11,9,81.8
Waste Connections - El Paso Disposal 5110,11,14,127.3
TOWER COMPACTOR RENTAL,11,16,145.5
Lakeshore Recycling Systems - AR,11,9,81.8
J&T Environmental Fleet Services,11,13,118.2
"EZ Disposal Service, Inc.",11,12,109.1
"Big's Sanitation, Inc",11,15,136.4
"CITY OF TUCSON, AZ",11,8,72.7
"Green Guys Recycling Solutions, LLC",11,6,54.5
Waste Connections - Kansas,11,9,81.8
Midwest Paper Retriever LLC,11,10,90.9
"PASCON, LLC",11,5,45.5
121 Disposal Company,10,15,150.0
1-800-GOT-JUNK National,10,2,20.0
City of Blackfoot,10,8,80.0
Curbside Waste Inc.,10,12,120.0
County Waste Systems Inc,10,10,100.0
Advance Machine & Hydraulic,10,6,60.0
LIBERTY DISPOSAL - AZ,10,6,60.0
PAK-RITE,10,9,90.0
Pelican Waste,10,15,150.0
JLT Trucking,10,11,110.0
Waste Connections - Nebraska,10,9,90.0
Waste Connections - Rumsey Environmental 6081,10,7,70.0
"Waste Path Services, LLC",10,11,110.0
Waste Connections - Texas Houston 5120,10,12,120.0
Waste Connections of Texas,10,16,160.0
Waste Pro - Ft Myers 109,10,10,100.0
Waste Pro - Meridian 602,10,10,100.0
Waste Pro - Jacksonville 107,10,9,90.0
Wise Environmental Solutions,10,11,110.0
